id;name;lat;lon;alt(m);delay(ns);board_rev;rec_ch 
A;MKZ;-23.4877967;-46.8316478;808.80;833;3;8      
B;UAB;-23.7022186;-46.8251392;783.80;743;3;8      
C;PCT;-23.6507108;-46.6218817;825.30;711;3;8      
D;FEI;-23.7257086;-46.5795603;828.30;725;3;8      
E;IFP;-23.5615964;-46.7350819;805.60;726;3;10      
F;CSP;-23.5241736;-46.6218442;750.30;722;3;8      
G;RBP;-23.7078239;-46.4100264;823.40;744;3;8      
H;PQC;-23.5766592;-46.4592950;842.24;867;3;8      
J;ULE;-23.4818842;-46.5005947;760.90;731;3;8      
K;MGC;-23.5137581;-46.1556681;765.42;737;3;8      
L;CSZ;-23.5359581;-46.3274372;749.35;736;3;8 
M;ARJ;-23.3748692;-46.3502872;841.61;730;3;8  
